"id","idProdutoCafe","idFuncionario","idUsuario","DataCompra","Qtde","Unitario","Total","update_at","deleted_at","insert_at"
"135","4","1774","4629","20/6/2023","1","2.3","2.3","1/1/1 00:00:00",,"20/6/2023 09:30:06"
"136","2","4868","4629","22/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"22/6/2023 09:48:03"
"137","2","5420","4629","22/6/2023","4","2.3","9.2","1/1/1 00:00:00",,"22/6/2023 09:48:23"
"138","2","1774","4629","22/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"22/6/2023 09:48:39"
"139","5","2472","4629","22/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"22/6/2023 09:48:56"
"140","5","4968","4971","21/6/2023","1","2.3","2.3","22/6/2023 09:57:19",,"22/6/2023 09:57:19"
"141","5","4968","4971","23/6/2023","1","2.3","2.3","1/1/1 00:00:00",,"23/6/2023 15:37:31"
"142","5","4629","4971","23/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"23/6/2023 15:37:47"
"143","2","1774","4971","24/6/2023","1","2.3","2.3","1/1/1 00:00:00",,"24/6/2023 09:19:42"
"144","5","5420","4971","24/6/2023","1","2.3","2.3","1/1/1 00:00:00",,"24/6/2023 09:19:59"
"145","1","4868","4971","24/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"24/6/2023 09:20:15"
"146","5","4968","4971","27/6/2023","1","2.3","2.3","1/1/1 00:00:00",,"27/6/2023 10:15:45"
"147","1","5418","4971","27/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"27/6/2023 16:34:03"
"148","2","1774","4971","28/6/2023","1","2.3","2.3","1/1/1 00:00:00",,"28/6/2023 15:30:00"
"149","4","4868","4971","28/6/2023","2","2.3","4.6","1/1/1 00:00:00",,"28/6/2023 15:30:20"
"150","2","1774","4971","1/7/2023","1","2.3","2.3","1/1/1 00:00:00",,"1/7/2023 11:44:07"
"151","1","4868","4971","1/7/2023","2","2.3","4.6","1/1/1 00:00:00",,"1/7/2023 11:44:27"
"152","5","5420","4971","1/7/2023","2","2.3","4.6","1/1/1 00:00:00",,"1/7/2023 11:44:42"
"153","5","4968","4971","1/7/2023","1","2.3","2.3","1/1/1 00:00:00",,"1/7/2023 11:44:57"
"154","5","5418","4629","3/7/2023","4","2.3","9.2","1/1/1 00:00:00",,"4/7/2023 09:04:48"
"155","5","4968","4971","4/7/2023","1","2.3","2.3","1/1/1 00:00:00",,"4/7/2023 15:37:19"
"156","4","5420","4971","6/7/2023","2","2.3","4.6","1/1/1 00:00:00",,"6/7/2023 15:47:06"
"157","5","4968","4971","13/7/2023","1","2.3","2.3","1/1/1 00:00:00",,"13/7/2023 09:02:49"
"158","2","5420","4971","12/7/2023","2","2.3","4.6","1/1/1 00:00:00",,"13/7/2023 09:03:54"
"159","5","4629","4971","13/7/2023","2","2.3","4.6","1/1/1 00:00:00",,"13/7/2023 09:05:17"
"160","5","4866","4971","11/7/2023","2","2.3","4.6","1/1/1 00:00:00",,"13/7/2023 09:05:59"
"161","5","4968","4629","15/7/2023","1","2.3","2.3","1/1/1 00:00:00",,"15/7/2023 09:57:46"
"162","2","5420","4629","15/7/2023","2","2.3","4.6","1/1/1 00:00:00",,"15/7/2023 09:58:08"
"163","5","5422","4629","13/7/2023","2","2.3","4.6","1/1/1 00:00:00",,"15/7/2023 09:58:58"
"164","5","5422","4629","15/7/2023","2","2.3","4.6","1/1/1 00:00:00",,"15/7/2023 09:59:17"
"165","5","4968","4971","17/7/2023","1","2.3","2.3","1/1/1 00:00:00",,"17/7/2023 17:16:49"
"166","2","1774","4971","18/7/2023","1","2.3","2.3","1/1/1 00:00:00",,"18/7/2023 08:30:13"
"167","5","5422","4971","18/7/2023","2","2.3","4.6","1/1/1 00:00:00",,"18/7/2023 08:30:32"
"168","5","4968","4971","18/7/2023","1","2.3","2.3","1/1/1 00:00:00",,"18/7/2023 16:46:26"
"169","2","1774","4971","19/7/2023","3","2.3","6.9","1/1/1 00:00:00",,"19/7/2023 15:23:45"
"170","5","4968","4971","19/7/2023","1","2.3","2.3","1/1/1 00:00:00",,"19/7/2023 15:24:06"
"171","4","4868","4971","19/7/2023","1","2.3","2.3","1/1/1 00:00:00",,"19/7/2023 15:24:22"
"172","1","5418","4971","19/7/2023","2","2.3","4.6","1/1/1 00:00:00",,"19/7/2023 15:25:07"
"173","4","5418","4971","20/7/2023","2","2.3","4.6","1/1/1 00:00:00",,"20/7/2023 15:07:00"
"174","2","1774","4971","20/7/2023","2","2.3","4.6","1/1/1 00:00:00",,"20/7/2023 15:07:42"
"175","5","5420","4971","20/7/2023","2","2.3","4.6","1/1/1 00:00:00",,"20/7/2023 15:08:28"
"176","5","4968","4971","20/7/2023","1","2.3","2.3","1/1/1 00:00:00",,"20/7/2023 15:08:45"
"177","5","5422","4971","20/7/2023","2","2.3","4.6","1/1/1 00:00:00",,"20/7/2023 16:37:23"
"178","2","1774","4971","22/7/2023","1","2.3","2.3","1/1/1 00:00:00",,"22/7/2023 11:22:37"
"179","5","4968","4971","22/7/2023","1","2.3","2.3","1/1/1 00:00:00",,"22/7/2023 11:22:54"
"180","5","4968","4971","24/7/2023","1","2.3","2.3","1/1/1 00:00:00",,"24/7/2023 08:11:02"
"181","2","4967","4971","24/7/2023","2","2.3","4.6","1/1/1 00:00:00",,"24/7/2023 14:57:15"
"182","2","4967","4971","25/7/2023","2","2.3","4.6","1/1/1 00:00:00",,"25/7/2023 15:43:47"
"183","2","1774","4971","25/7/2023","1","2.3","2.3","1/1/1 00:00:00",,"25/7/2023 15:44:03"
"184","5","4968","4971","26/7/2023","1","2.3","2.3","1/1/1 00:00:00",,"26/7/2023 13:41:15"
"185","2","5420","4971","26/7/2023","2","2.3","4.6","1/1/1 00:00:00",,"26/7/2023 13:41:36"
"186","1","5420","4971","26/7/2023","2","2.3","4.6","1/1/1 00:00:00",,"26/7/2023 16:42:48"
"187","5","4868","4971","26/7/2023","2","2.3","4.6","1/1/1 00:00:00",,"26/7/2023 16:43:12"
"188","2","1774","4971","26/7/2023","1","2.3","2.3","1/1/1 00:00:00",,"26/7/2023 16:43:39"
"189","5","4968","4971","27/7/2023","1","2.3","2.3","1/1/1 00:00:00",,"27/7/2023 10:34:14"
"190","2","1774","4971","29/7/2023","1","2.3","2.3","1/1/1 00:00:00",,"29/7/2023 09:58:15"
"191","4","4967","4971","29/7/2023","2","2.3","4.6","1/1/1 00:00:00",,"29/7/2023 10:42:15"
"192","5","4868","4971","29/7/2023","2","2.3","4.6","1/1/1 00:00:00",,"29/7/2023 10:42:31"
"193","2","1774","4971","31/7/2023","1","2.3","2.3","1/1/1 00:00:00",,"31/7/2023 14:58:32"
"194","4","2472","4971","1/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"1/8/2023 17:15:16"
"195","5","4868","4971","2/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"2/8/2023 09:28:24"
"196","2","1774","4971","2/8/2023","1","2.3","2.3","1/1/1 00:00:00",,"2/8/2023 09:28:38"
"197","2","4967","4971","2/8/2023","4","2.3","9.2","1/1/1 00:00:00",,"2/8/2023 09:28:57"
"198","1","5422","4971","2/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"2/8/2023 17:05:40"
"199","2","1774","4971","3/8/2023","1","2.3","2.3","1/1/1 00:00:00",,"3/8/2023 11:37:08"
"200","1","5420","4971","3/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"3/8/2023 16:02:00"
"201","5","4868","4971","3/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"3/8/2023 16:02:16"
"202","5","5420","4971","4/8/2023","1","2.3","2.3","1/1/1 00:00:00",,"4/8/2023 10:22:25"
"203","2","4967","4971","4/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"4/8/2023 10:22:39"
"204","5","5422","4971","4/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"4/8/2023 16:19:04"
"205","2","1774","4971","7/8/2023","1","2.3","2.3","1/1/1 00:00:00",,"7/8/2023 16:21:05"
"206","4","4868","4971","7/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"7/8/2023 16:21:21"
"207","5","5420","4971","7/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"7/8/2023 16:21:36"
"208","2","4967","4971","7/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"7/8/2023 16:21:55"
"209","5","5422","4971","7/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"7/8/2023 16:22:08"
"210","5","5418","4971","8/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"8/8/2023 15:46:00"
"211","5","5422","4629","9/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"9/8/2023 08:49:24"
"212","4","4866","4629","9/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"9/8/2023 08:49:41"
"213","4","5418","4629","9/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"9/8/2023 08:49:57"
"214","5","5422","4629","9/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"9/8/2023 16:14:08"
"215","4","4967","4629","9/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"9/8/2023 16:14:44"
"216","4","4868","4629","9/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"9/8/2023 16:15:04"
"217","2","5420","4629","9/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"9/8/2023 16:15:21"
"218","2","1774","4629","9/8/2023","1","2.3","2.3","1/1/1 00:00:00",,"9/8/2023 16:15:35"
"219","5","4968","4629","10/8/2023","1","2.3","2.3","1/1/1 00:00:00",,"10/8/2023 08:32:13"
"220","5","4968","4629","10/8/2023","1","2.3","2.3","1/1/1 00:00:00",,"10/8/2023 10:38:01"
"221","5","4629","4629","10/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"10/8/2023 15:24:37"
"222","2","4968","4629","12/8/2023","1","2.3","2.3","1/1/1 00:00:00",,"12/8/2023 08:20:02"
"223","4","4967","4629","12/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"12/8/2023 08:20:19"
"224","5","5422","4629","14/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"14/8/2023 08:22:25"
"225","5","5418","4629","14/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"14/8/2023 08:22:40"
"226","2","1774","4629","14/8/2023","1","2.3","2.3","1/1/1 00:00:00",,"14/8/2023 10:58:15"
"227","5","4968","4629","14/8/2023","1","2.3","2.3","1/1/1 00:00:00",,"14/8/2023 10:58:38"
"228","2","4967","4629","14/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"14/8/2023 10:58:53"
"229","5","4968","4629","16/8/2023","1","2.3","2.3","1/1/1 00:00:00",,"16/8/2023 09:50:38"
"230","2","4968","4629","16/8/2023","1","2.3","2.3","1/1/1 00:00:00",,"16/8/2023 14:03:41"
"231","5","4968","4629","17/8/2023","4","2.3","9.2","1/1/1 00:00:00",,"17/8/2023 09:36:58"
"232","4","1774","4629","17/8/2023","1","2.3","2.3","1/1/1 00:00:00",,"17/8/2023 09:37:17"
"233","5","5422","4629","18/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"18/8/2023 10:16:42"
"234","2","5418","4629","18/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"18/8/2023 10:17:07"
"235","5","4968","4629","18/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"18/8/2023 10:17:31"
"236","2","4967","4629","18/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"18/8/2023 10:17:50"
"237","2","5420","4629","18/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"18/8/2023 10:18:10"
"238","5","5422","4629","19/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"19/8/2023 08:36:28"
"239","2","4968","4629","19/8/2023","1","2.3","2.3","1/1/1 00:00:00",,"19/8/2023 08:36:43"
"240","5","5418","4629","19/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"19/8/2023 08:36:55"
"241","5","4629","4629","19/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"19/8/2023 10:13:44"
"242","5","5422","4629","21/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"21/8/2023 14:00:37"
"243","2","4968","4629","21/8/2023","1","2.3","2.3","1/1/1 00:00:00",,"21/8/2023 14:00:52"
"244","2","5418","4629","21/8/2023","2","2.3","4.6","1/1/1 00:00:00",,"21/8/2023 14:01:20"
"245","5","4968","4629","22/8/2023","1","2.3","2.3","1/1/1 00:00:00",,"22/8/2023 16:08:36"
